id,标题,成文或生成日期,发布或生效日期,来源,URL源地址,内容
200,市委常委、宣传部长陈苏到我区调研 ,2018/1/3,2018/1/3,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14441,"作者:区委宣传部 发布时间:2018/1/3 11:19:42 查看人数:1812 
	    1月2日，市委常委、宣传部长陈苏，市委宣传部常务副部长瞿向前等一行到我区调研，区委常委、宣传部长王丽华陪同调研。


	



	    陈苏部长实地踏查了位于东五条路清福街的琦裕电竞馆，对馆内的运营模式、竞技类型、客流情况等方面做了详细了解，并与馆内负责人进行了更深入地交谈。"
201,区委书记孙立国深入党建联系点开展调研 ,2018/1/3,2018/1/3,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14438,"作者:区委办公室 发布时间:2018/1/3 8:54:20 查看人数:1614 
	    1月2日，新年首个工作日，区委书记孙立国深入党建联系点七星街道照庆社区开展调研，区领导李晓东、施秀江、周海燕陪同调研。


	



	    调研中，孙立国同志首先向七星街道各社区书记、社区工作者送去新年祝福，随后详细了解了照庆社区“双创”、党建宣传等方面工作，并指出此次深入基层调研是对党的十九大精神和省委、市委、区委全会精神再宣传、再学习、再动员的重要举措，各级党组织要不忘初心、牢记使命，结合宣讲团、轮训班、讲习所、工作队等多种载体，着力在学懂弄通做实上下功夫，带领基层党员在认识上更加清晰、理论上更加清醒、政治上更加坚定、行动上更加坚决。


	



	    调研最后召开了座谈会，孙立国同志分别听取了各社区党建、社会事业、小区物业等重点工作汇报及2018年工作谋划，并对七星街道各方面工作给予充分肯定。同时对下步工作提出要求，强调要坚持“领全市发展之先、改革之先、民本之先、风气之先、党建之先”的工作标准，突出“精品城区、精明发展、精细管理、精深服务、精准落实”的发展要求，聚焦建设省市知名的“投资洼地、人才高地、双创基地、民生福地、文化休闲旅游目的地”城区定位，切实以党建工作统领全局，以党建创新引领基层治理，着力抓实“党建为党”强化政治领导力，抓实“党建为民”强化群众组织力，抓实“党建为中心”强化发展引领力，抓实“党建全覆盖”强化社会号召力，重点在非公组织党建、小区物业管理、“三社联动”和“四室进社区”等方面聚焦发力，进一步夯实基层党组织的政治基础、理论基础、组织基础，为加快现代化东安建设新局面贡献智慧力量。"
188,东安区政协开展“送文化 进社区” 迎新春文艺专场演出活动 ,2018/1/30,2018/1/30,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14546,"作者:区政协办公室 发布时间:2018/1/30 19:11:16 查看人数:1639 
	    1月30日上午，东安区政协在区文化馆组织开展“送文化 进社区”迎新春文艺专场演出活动。区政协副主席王瑶、宋玉红，文教组委员和七星街道近百名社区居民观看了演出。


	



	    本次演出节目丰富多彩，有独唱、快板、二人转、京剧等，观众热情高涨，丰富了社区居民文化生活。"
187,东安区召开2017年度区委常委班子民主生活会 ,2018/1/31,2018/1/31,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=14548,"作者:区委组织部 发布时间:2018/1/31 20:18:07 查看人数:1622 
	    按照中央和省、市委的安排部署,1月30日,东安区召开2017年度区委常委班子民主生活会，会议以认真学习领会习近平新时代中国特色社会主义思想、坚定维护以习近平同志为核心的党中央权威和集中统一领导、全面贯彻落实党的十九大各项决策部署为主题，重点围绕中央提出的六个方面，认真查找存在的突出问题，深入进行党性分析，开展批评和自我批评。区委常委参加了会议，政协主席列席会议。市纪委常委、监委委员孙立秋、市考核办主任刘恒文莅临指导。


	



	    会上，通报了上年度东安区委常委班子民主生活会整改措施落实情况。区委书记孙立国代表区委常委班子作对照检查后，带头做个人对照检查，开展自我批评，并接受大家批评。区委常委逐一进行对照检查，并开展相互批评。


	    孙立国同志就抓好本次民主生活会整改任务的落实强调三点意见：一要对党绝对忠诚，自觉做政治上的明白人；二要坚持不懈抓学习，切实提高党性修养和工作能力；三要敢于担当负责，充分发挥领导干部“头雁效应”。"
52,区机关工委督导检查机关党建工作 ,2018/10/10,2018/10/10,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15547,"作者:区机关工委 发布时间:2018/10/10 11:56:05 查看人数:1462 
	   为进一步规范机关党组织建设，切实解决机关党建“灯下黑”问题，区机关工委于十一前夕对所属30个机关党组织进行了为期4天的党建工作督导检查。


	



	   此次活动从党支部规范化建设入手，重点对三会一课、集中学习、主题党日等组织生活开展情况进行了检查指导，并对党建工作手册、学习笔记、党建工作台账等材料的规范化提出了具体要求。检查过程中，通过与各支部书记及党务工作者面对面的交流，了解并解决了基层党组织在党建工作中存在的困惑、疑难和问题，为机关党建工作质量的提高奠定了坚实的基础。


	


   下一步，机关工委将针对检查中发现的问题，研究制定切实可行的解决办法，并通过抓机关支部规范化建设，切实提高机关党组织的凝聚力和战斗力，将基层党组织真正建设成为宣传党的主张、贯彻党的决定、领导基层治理、团结动员群众、推动改革发展的坚强战斗堡垒！"
53,东安区召开招商引资工作会议 ,2018/10/10,2018/10/10,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15545,"作者:区招商办 发布时间:2018/10/10 9:32:10 查看人数:1600 
	      为贯彻落实习近平总书记深入推进东北振兴重要讲话和考察我省重要指示精神，进一步提升全区招商引资工作水平，10月9日，东安区召开招商引资工作会议，安排部署推进全区招商引资工作。区委书记孙立国出席会议并作讲话，区委副书记、区长时林主持会议，区四个班子领导出席会议，区直各单位和学校班子成员、社区书记、部分人大代表、政协委员、工商联会员以及区内部分企业代表参加会议。


	    会上，区委常委、组织部长李晓东宣读了《关于进一步加强招商引资工作的意见》，区人大办、政协办、区法院、长安街道、区招商办主要负责人分别结合部门实际进行表态发言。


	   


	    就如何做好全区招商引资工作，区委书记孙立国强调必须把握好“五个拼”和“四条原则”，统一思想、提高认识、加强领导、压实责任，坚定做好招商引资工作的信心和决心。在具体工作中，要深入贯彻习近平总书记在深入推进东北振兴座谈会上的重要讲话和考察龙江重要指示精神，突出抓好五方面重点任务，凝聚招商引资强大合力。


	



	    区委副书记、区长时林要求要贯彻落实好此次会议精神，全力以赴抓好落实，形成合力抓好招商，以园区招商、建设高铁商圈、发展总部经济为重点打好招商引资攻坚战。"
51,东安区召开房地产领域信访问题专项整治工作推进会 ,2018/10/11,2018/10/11,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15553,"作者:区建设局 发布时间:2018/10/11 13:28:35 查看人数:1541 
	   10月11日，东安区委副书记、区长时林同志主持召开房地产领域信访问题专项整治工作推进会，听取了我区信访问题省级台账和市级台账办理情况的汇报，就做好信访案件办理工作提出以下要求：一是要与省委、市委保持高度一致，切实解决民生问题；二是要学政策、用政策，不要跑偏；三是件件案件要着实、保持信息同步；四是要加强与上级、信访人的沟通，既要传达省市委的关心，也要疏导信访人的心理，促进案件的解决。副区长刘文军、信访局、建设局、发改局、征收办等单位负责人参加会议。"
50,东安区开展创城联检联评连责活动 ,2018/10/12,2018/10/12,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15552,"作者:区委宣传部 发布时间:2018/10/12 10:22:07 查看人数:1565 
	   10月10日―11日，东安区由区委常委、宣传部长王丽华，政府副区长刘文军，政府副区长周海燕带队，城管、民政、物管、街道、社区等单位创城负责同志近30余人组成测评队，针对环境卫生、基础设施建设、公益广告、档案材料等方面内容，深入辖区街道办事处、社区、标杆小区、市级包保小区等近50个重点部位、重点区域进行走访检查评议，聚焦问题，查找差距。在全市迎接新一轮创城首年国检的重要时间节点，东安区采用联检联评连责的方式，即是创城预检也是对全区前段创城“五个战役”的阶段性验收评比，找差距，抓整改，表扬先进，鞭策落后，实现自我加压、自我提升，提振全区创城精气神，使创城软、硬件建设同步提升，为全市创城贡献东安力量。"
46,东安“双创”再传喜讯，在全市大会上做典型发言 ,2018/10/15,2018/10/15,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15565,"作者:区双创办 发布时间:2018/10/15 14:31:57 查看人数:4119 
	   10月9日上午，全市2018年双创工作大会在牡师院隆重召开，区委常委、常务副区长姚景林带领区双创办全体同志参加了此次大会，并在大会上代表四城区作了题为《强化创新驱动，厚植发展热土，东安区“双创”领航，培育经济发展内生动力》的典型经验发言，全面汇报了我区近几年双创工作取得的成果和经验，得到了与会领导和同志们的一致认可和高度评价。 


	
 


	   近年来，为认真贯彻落实国务院关于强化实施创新驱动发展战略，进一步推进大众创业万众创新深入发展，不断激发市场活力、增强全社会的创造力、凝聚改革发展正能量，东安区委、区政府秉承“抓创新就是抓发展，谋创新就是谋未来”，认真落实国家和省、市关于推进大众创业、万众创新工作的决策部署，围绕
“五地东安”发展目标，以激发全区创新创业活力和能力为主线，探索“互联网+基地+项目+政策”工作模式，七措并举，多轮驱动，不断优化创新创业环境，开辟创业带动、创新驱动特色发展之路，为决胜全面建成小康社会，奋力开创现代化东安培育不竭内生动力。"
47,东安区召开2018年度市对标促进会议 ,2018/10/15,2018/10/15,牡丹江-东安日报,http://www.donganqu.gov.cn/show.asp?id=15564,"作者:区机关工委 发布时间:2018/10/15 14:25:51 查看人数:4125 
	   10月12日上午，东安区召开2018年度市对标促进会议。区委常委、常务副区长姚景林主持会议，区委常委、组织部长李晓东出席会议。承担市考核目标任务的相关部门负责人20余人参加会议。 


	
 


	   会议上，目标办主任郭军环首先解读了市主要责任指标考核评价办法，然后各责任部门对截至目前所承担目标任务完成情况、目前及预计年终打分排名情况作了简要汇报，同时对存在的问题及解决办法进行了简要的阐述。 


	   会议指出，各部门要在思想上高度重视，做到全力推进。对照目标要求逐一梳理，拉出单子，列出项目，确保高质量按时完成各项指标任务。各单位要主动与市对口相关考核部门沟通，积极协调，克服困难，完成目标工作。会议要求，指标推进已进入最后冲刺阶段，各单位务必抢前抓早，按照市考核要求，全力推进各项指标的完成落实，做到应有尽有，不漏项、不丢分，力争效果最大化，夺取高分数好名次。同时，各单位要及时将承担的各种指标任务推进完成情况、考核结果反馈给目标办，对标结果要运用到东安区的内部考核，做到上下一致。要做到双向对标，争名次、争站位，实现区委区政府提出的保二争一目标。"
